"stay_date","lead_time","pickup","otb_rooms"
2015-07-01,737,1,1
2015-07-01,342,1,2
2015-07-01,181,1,3
2015-07-01,149,2,5
2015-07-01,145,1,6
2015-07-01,127,1,7
2015-07-01,126,1,8
2015-07-01,118,2,10
2015-07-01,110,1,11
2015-07-01,99,1,12
2015-07-01,95,1,13
2015-07-01,78,1,14
2015-07-01,77,1,15
2015-07-01,72,3,18
2015-07-01,68,2,20
2015-07-01,48,1,21
2015-07-01,37,3,24
2015-07-01,35,1,25
2015-07-01,18,1,26
2015-07-01,14,2,28
2015-07-01,13,1,29
2015-07-01,12,1,30
2015-07-01,9,1,31
2015-07-01,7,2,33
2015-07-01,4,1,34
2015-07-01,2,1,35
2015-07-01,1,1,36
2015-07-01,0,2,38
2015-07-02,226,1,1
2015-07-02,152,3,4
2015-07-02,150,1,5
2015-07-02,142,1,6
2015-07-02,127,2,8
2015-07-02,113,2,10
2015-07-02,107,1,11
2015-07-02,96,1,12
2015-07-02,93,2,14
2015-07-02,90,1,15
2015-07-02,84,1,16
2015-07-02,76,1,17
2015-07-02,70,2,19
2015-07-02,69,1,20
2015-07-02,50,1,21
2015-07-02,45,1,22
2015-07-02,36,1,23
2015-07-02,17,1,24
2015-07-02,16,1,25
2015-07-02,15,1,26
2015-07-02,14,1,27
2015-07-02,10,1,28
2015-07-02,5,1,29
2015-07-02,3,1,30
2015-07-02,1,2,32
2015-07-02,0,3,35
2015-07-03,364,1,1
2015-07-03,324,1,2
2015-07-03,121,2,4
2015-07-03,116,1,5
2015-07-03,109,1,6
2015-07-03,102,1,7
2015-07-03,101,1,8
2015-07-03,99,2,10
2015-07-03,81,1,11
2015-07-03,72,1,12
2015-07-03,69,1,13
2015-07-03,63,1,14
2015-07-03,51,1,15
2015-07-03,32,1,16
2015-07-03,21,1,17
2015-07-03,15,1,18
2015-07-03,12,1,19
2015-07-03,10,1,20
2015-07-03,9,2,22
2015-07-03,3,2,24
2015-07-03,2,2,26
2015-07-03,1,1,27
2015-07-04,184,1,1
2015-07-04,183,2,3
2015-07-04,158,1,4
2015-07-04,157,1,5
2015-07-04,149,1,6
2015-07-04,145,1,7
2015-07-04,135,1,8
2015-07-04,130,2,10
2015-07-04,127,1,11
2015-07-04,115,1,12
2015-07-04,109,1,13
2015-07-04,102,2,15
2015-07-04,100,3,18
2015-07-04,98,1,19
2015-07-04,95,1,20
2015-07-04,92,3,23
2015-07-04,86,1,24
2015-07-04,79,1,25
2015-07-04,78,1,26
2015-07-04,58,1,27
2015-07-04,52,1,28
2015-07-04,32,1,29
2015-07-04,30,1,30
2015-07-04,29,1,31
2015-07-04,8,1,32
2015-07-04,4,1,33
2015-07-04,2,1,34
2015-07-04,1,1,35
2015-07-04,0,1,36
2015-07-05,184,1,1
2015-07-05,183,1,2
2015-07-05,155,1,3
2015-07-05,139,1,4
2015-07-05,130,1,5
2015-07-05,128,1,6
2015-07-05,125,1,7
2015-07-05,123,1,8
2015-07-05,115,1,9
2015-07-05,110,1,10
2015-07-05,109,1,11
2015-07-05,103,2,13
2015-07-05,97,2,15
2015-07-05,96,1,16
2015-07-05,94,1,17
2015-07-05,93,1,18
2015-07-05,90,1,19
2015-07-05,82,1,20
2015-07-05,80,1,21
2015-07-05,79,1,22
2015-07-05,64,1,23
2015-07-05,44,1,24
2015-07-05,39,1,25
2015-07-05,30,1,26
2015-07-05,29,1,27
2015-07-05,27,1,28
2015-07-05,9,3,31
2015-07-05,8,1,32
2015-07-05,2,3,35
2015-07-05,0,2,37
2015-07-06,258,1,1
2015-07-06,230,1,2
2015-07-06,185,4,6
2015-07-06,183,1,7
2015-07-06,159,1,8
2015-07-06,158,1,9
2015-07-06,115,1,10
2015-07-06,112,1,11
2015-07-06,111,4,15
2015-07-06,104,2,17
2015-07-06,100,1,18
2015-07-06,98,2,20
2015-07-06,97,1,21
2015-07-06,95,1,22
2015-07-06,94,1,23
2015-07-06,90,1,24
2015-07-06,84,1,25
2015-07-06,81,1,26
2015-07-06,80,1,27
2015-07-06,68,1,28
2015-07-06,66,1,29
2015-07-06,65,1,30
2015-07-06,51,2,32
2015-07-06,34,1,33
2015-07-06,33,1,34
2015-07-06,30,1,35
2015-07-06,28,1,36
2015-07-06,14,1,37
2015-07-06,7,1,38
2015-07-06,2,1,39
2015-07-06,0,1,40
2015-07-07,186,3,3
2015-07-07,184,1,4
2015-07-07,162,2,6
2015-07-07,151,3,9
2015-07-07,147,1,10
2015-07-07,137,1,11
2015-07-07,134,1,12
2015-07-07,118,1,13
2015-07-07,112,1,14
2015-07-07,88,1,15
2015-07-07,66,1,16
2015-07-07,55,1,17
2015-07-07,54,1,18
2015-07-07,39,1,19
2015-07-07,21,1,20
2015-07-07,8,3,23
